StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,NUR PN,Age,Gender,Gender_8_TEXT,Test Instructions,EF1,EF2 ,EF3,EI1,EI2,ER1,ER2,ER3,ER4,ERF1,ERF2,clinical_judgement,Rating,Confidence,SC0,SC1,SC2,SC3
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Research Consent Form

 You are being asked to participate in a research study conducted by Dr. Kathleen Cino at Farmingdale State College. You must be 18 years of age or older to participate in this research. The purpose of the study is to learn more about clinical judgement development in pre license nursing students. If you consent to participate, you will be asked to provide demographic information, complete a clinical judgement survey about yourself, and answer questions about the effectiveness of the clinical homework assignment known as an unfolding case study.



 Participation will take approximately 30 minutes each semester for up to four semesters (through Fall 2025). If you leave the Nursing program at FSC before Fall 2025 (either by graduating or leaving the program early), your participation in the study will end at that time. Each semester, information (your responses) will be collected through an on-line survey. You will be provided with a random ID code (via email) at the conclusion of your initial participation.

Going forward, you will be requested to enter this ID code each time you participate in this study. A link will be retained between your email address and collected information via this ID code for data analysis purposes; however, only Professor David Brocker will have access to this link. Professor Brocker is a member of the research team, but he is not a member of FSC’s Nursing department. No attempt will be made to identify any participant via their email address and email addresses will not be included with the collected data. You will not be asked to provide any identifiable information other than your email address. Additionally, there is a risk that you could be identified by study team members through the demographic information that will be provided. Although the possibility of identifying you exists, the study team will not intentionally do so, nor will they record any possible identities in the data set.



 There are no risks associated with this research beyond what one would experience in everyday life. Possible benefits of participation in this research include increased awareness of your clinical judgement as it develops over time. There are no compensations for participation. Your participation in this study is voluntary. You will be asked to complete the survey outside of class time. You may choose not to participate in the study or to drop out at any time without consequence. Participating or not participating in this research study will have no impact on your nursing course(s) grade.



 If you have any questions about the research, contact the Principal Investigator at 934-420-2247 or cinok@farmingdale.edu or Farmingdale State College's IRB at 934-420-2687 or IRB@farmingdale.edu.



You are encouraged to save a copy of this consent for your records.

 Download a copy of this form here  Informed consent clinical judgement s23



 Please select yes if you consent to participate in this research.",What nursing clinical course are you currently enrolled in?,What is your age?,Gender: How do you identify (Select all that apply) - Selected Choice,Gender: How do you identify (Select all that apply) - Prefer to self-describe: - Text,"The following survey is the Lasater Clinical Judgement Rubric by Kathie Lasater, Ed.D. (2007).  

You will be asked to select from one of four categories that best describe your self assessment of judgment and thinking as a student nurse in the patient healthcare setting. The categories are: Exemplary, Accomplished, Developing, and Beginning.

For example, select one of the categories below.","In the area of Focused Observation, I rate myself as...","In the area of Recognizing Deviations from Expected Patterns, I rate myself as...","In the area of Information Seeking, I rate myself as...","In the area of Prioritizing Data, I rate myself as...","In the area of Making Sense of Data, I rate myself as...","In the area of Responding in a Calm, Confident Manner, I rate myself as...","In the area of Responding with Clear Communication, I rate myself as...","In the area of Well-Planned, Intervention/Flexibility, I rate myself as...","In the area of Being Skillful, I rate myself as...","In the area of Evaluations/Self-Analysis, I rate myself as...","In the area of Commitment to Improvement, I rate myself as...","How did the assignment (unfolding case study) improve, challenge, or not change your clinical judgement skills?

Note: 
If you need to resize the textbox, you can drag on the lower-right hand corner and resize to your liking.",,"Did the unfolding case study improve your confidence in making clinical decisions?

Note: If you need to resize the textbox, you can drag on the lower-right hand corner and resize to your liking.",Noticing,Interpretation,Responding,Reflecting
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_8_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID30_TEXT""}",,"{""ImportId"":""QID34_TEXT""}","{""ImportId"":""SC_6xrprZNCZ68sBeu""}","{""ImportId"":""SC_55AfrD5NK0orIR8""}","{""ImportId"":""SC_cRPdArWP9uQa0u2""}","{""ImportId"":""SC_bvVa2XVnYzMXerI""}"
4/21/2023 11:51,4/21/2023 11:53,1,100,141,1,4/21/2023 11:54,R_22MqgmSIUUAoIFp,preview,EN,1,3,63,2,,5,2,4,1,2,3,4,3,2,3,2,2,Yes the unfolding assignment gave me the opportunity to include a lot of clinical data on the form.,Positive,,8,5,8,6
4/24/2023 15:48,4/24/2023 15:52,0,100,204,1,4/24/2023 15:52,R_xlJD2YkgNLvP6nv,anonymous,EN,1,4,21,2,,4,2,2,2,2,2,1,2,2,2,2,1,"It is a bit repetitive, also some sections are unclear on the directions ",Negative,Yes and No I felt they helped me make more connections but also took a lot of time to gather all the data,9,6,13,7
4/25/2023 13:40,4/25/2023 13:47,0,100,393,1,4/25/2023 13:47,R_1IYJJrkXE2YDdHj,anonymous,EN,1,2,44,2,,6,3,3,3,3,3,2,3,3,3,3,3,"I hated it, it was very time consuming.  I was trying to pass tests that determine my grades and had to focus on the case study. That being said after successfully completing it I felt empowered. One would have been good enough for the semester. ",Negative,I think it improve my confidence in being able to look up information. ,6,4,9,4
4/25/2023 14:43,4/25/2023 14:47,0,100,224,1,4/25/2023 14:47,R_3fNssSCUr4WdB4P,anonymous,EN,1,5,22,2,,4,2,2,2,2,2,2,2,2,2,2,2,made me see the bigger picture rather than individual pieces of evidence ,Positive,,9,6,12,6
4/25/2023 15:30,4/25/2023 15:30,0,100,12,1,4/25/2023 15:30,R_da2oDt2liiJVAd3,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,0,0,0,0
4/25/2023 15:30,4/25/2023 15:39,0,100,541,1,4/25/2023 15:39,R_UVGwW9ItLmyhay5,anonymous,EN,1,5,29,2,,7,3,3,2,2,2,2,2,3,2,2,2,It improved my clinical judgement skills because it allowed me to utilize my critical thinking skills to accurately assess the patient and prioritize interventions and care. I was able to use theory and apply it to the clinical setting in a real life setting.,Positive,Somewhat.,7,6,11,6
4/25/2023 15:39,4/25/2023 15:41,0,100,127,1,4/25/2023 15:41,R_2VD5Vcvdn8O3soi,anonymous,EN,1,5,29,2,,4,2,1,1,2,2,1,1,1,1,2,1,It is helpful to plug all information into a patient situation ,Positive,Yes,11,6,16,7
4/26/2023 13:54,4/26/2023 14:07,0,100,791,1,4/26/2023 14:07,R_3CK7gy5YcppEohd,anonymous,EN,1,2,21,"1,7",,6,2,2,2,3,2,2,2,2,3,2,2,Did not change or impact my critical thinking/judgement at all,Negative,No,9,5,11,6
